"","accepted_symbol","scientific_name","fire_resistance","growth_rate","height","drought_tolerance","fire_tolerance","moisture_use","planting_density","root_depth","bloom_period","growth_habit","growth_period"
"94","ALTE","Allium textile","No","Rapid",1,"High","High","Medium",11000,8,"Mid Spring","Forb/herb","Spring"
"95","ALTO","Allium tolmiei","No","Rapid",1,"High","High","Medium",11000,8,"Early Spring","Forb/herb","Spring"
"96","ALVA","Allium validum","No","Moderate",2,"Low","High","High",11000,8,"Late Spring","Forb/herb","Summer"
"97","ALGL2","Alnus glutinosa","No","Rapid",45,"Medium","Low","Medium",1200,16,"Mid Spring","Tree","Spring"
"98","ALIN2","Alnus incana","No","Rapid",25,"Low","High","High",1200,24,"Spring","Tree","Spring"
"99","ALIN2","Alnus incana","No","Rapid",25,"Low","High","High",1200,24,"Spring","Shrub","Spring"
"100","ALINR","Alnus incana ssp. rugosa","No","Moderate",16,"Low","Medium","Medium",1200,24,"Early Spring","Tree","Spring"
"101","ALINR","Alnus incana ssp. rugosa","No","Moderate",16,"Low","Medium","Medium",1200,24,"Early Spring","Shrub","Spring"
"102","ALINT","Alnus incana ssp. tenuifolia","No","Rapid",20,"Low","Medium","High",1700,18,"Early Spring","Shrub","Spring"
"103","ALINT","Alnus incana ssp. tenuifolia","No","Rapid",20,"Low","Medium","High",1700,18,"Early Spring","Tree","Spring"
"104","ALMA7","Alnus maritima","No","Moderate",30,"Low","Medium","High",1200,20,"Late Summer","Tree","Spring"
"105","ALMA7","Alnus maritima","No","Moderate",30,"Low","Medium","High",1200,20,"Late Summer","Shrub","Spring"
"106","ALRH2","Alnus rhombifolia","No","Rapid",65,"Low","Low","High",400,12,"Fall","Tree","Spring"
"107","ALRU2","Alnus rubra","Yes","Rapid",90,"Medium","High","High",1200,25,"Early Spring","Tree","Spring"
"108","ALRU2","Alnus rubra","Yes","Rapid",90,"Medium","High","High",1200,25,"Early Spring","Tree","Summer"
"109","ALRU2","Alnus rubra","Yes","Rapid",90,"Medium","High","High",1200,25,"Early Spring","Tree","Fall"
"110","ALSE2","Alnus serrulata","No","Rapid",30,"Low","High","High",2700,24,"Spring","Tree","Spring"
"111","ALSE2","Alnus serrulata","No","Rapid",30,"Low","High","High",2700,24,"Spring","Shrub","Spring"
"112","ALVIC","Alnus viridis ssp. crispa","Yes","Moderate",10,"None","Medium","High",1700,20,"Summer","Tree","Spring"
"113","ALVIC","Alnus viridis ssp. crispa","Yes","Moderate",10,"None","Medium","High",1700,20,"Summer","Shrub","Spring"
"114","ALVIS","Alnus viridis ssp. sinuata","No","Slow",16,"Low","High","High",1200,10,"Summer","Shrub","Spring"
"115","ALVIS","Alnus viridis ssp. sinuata","No","Slow",16,"Low","High","High",1200,10,"Summer","Tree","Spring"
"116","ALCA4","Alopecurus carolinianus","No","Moderate",2,"Low","Low","Low",43000,12,"Spring","Graminoid","Spring"
"117","ALGE2","Alopecurus geniculatus","No","Moderate",2,"None","None","High",43000,12,"Summer","Graminoid","Spring"
