"","accepted_symbol","scientific_name","fire_resistance","growth_rate","height","drought_tolerance","fire_tolerance","moisture_use","planting_density","root_depth","bloom_period","growth_habit","growth_period"
"1143","LICA17","Limonium carolinianum","No","Moderate",2,"Low","None","High",10912,10,"Summer","Forb/herb","Spring"
"1144","LIST","Linum striatum","No","Moderate",3,"Low","Low","Medium",43560,2,"Summer","Forb/herb","Spring"
"1145","LIST2","Liquidambar styraciflua","No","Rapid",100,"Low","Low","High",800,36,"Mid Spring","Tree","Spring"
"1146","LITU","Liriodendron tulipifera","No","Rapid",120,"Low","Medium","Medium",800,32,"Mid Spring","Tree","Spring"
"1147","LIMU6","Liriope muscari","Yes","Moderate",0,"Medium","High","Low",43000,12,"Late Summer","Forb/herb","Spring"
"1148","LICO5","Listera convallarioides","Yes","Moderate",1,"None","High","High",11000,6,"Late Spring","Forb/herb","Spring"
"1149","LOCA2","Lobelia cardinalis","No","Moderate",6,"Medium","Low","Low",10912,12,"Summer","Forb/herb","Spring"
"1150","LOPE","Lolium perenne","No","Rapid",2,"Low","Low","High",43560,10,"Mid Spring","Graminoid","Spring"
"1151","LOPE","Lolium perenne","No","Rapid",2,"Low","Low","High",43560,10,"Mid Spring","Graminoid","Summer"
"1152","LOPE","Lolium perenne","No","Rapid",2,"Low","Low","High",43560,10,"Mid Spring","Graminoid","Fall"
"1153","LOCA4","Lomatium canbyi","No","Moderate",1,"High","Medium","Low",4800,10,"Early Spring","Forb/herb","Spring"
"1154","LOCO4","Lomatium cous","No","Rapid",1,"High","Medium","Low",4800,10,"Early Spring","Forb/herb","Spring"
"1155","LOMA3","Lomatium macrocarpum","No","Moderate",0,"High","Medium","Low",4800,10,"Early Spring","Forb/herb","Spring"
"1156","LOIN5","Lonicera involucrata","No","Moderate",10,"Low","Medium","High",11000,12,"Summer","Shrub","Spring"
"1157","LOJA","Lonicera japonica","No","Rapid",1,"Medium","High","Medium",11000,10,"Mid Spring","Vine","Spring"
"1158","LOJA","Lonicera japonica","No","Rapid",1,"Medium","High","Medium",11000,10,"Mid Spring","Vine","Summer"
"1159","LOJA","Lonicera japonica","No","Rapid",1,"Medium","High","Medium",11000,10,"Mid Spring","Vine","Fall"
"1160","LOMA6","Lonicera maackii","No","Moderate",14,"Low","High","Medium",1200,16,"Late Spring","Shrub","Spring"
"1161","LOSE","Lonicera sempervirens","No","Rapid",16,"Low","Medium","Medium",10912,10,"Late Summer","Vine","Spring"
"1162","LOTA","Lonicera tatarica","No","Rapid",9,"Medium","High","Medium",1200,16,"Mid Spring","Shrub","Spring"
"1163","LOUT2","Lonicera utahensis","No","Rapid",5,"None","Medium","High",200,12,"Early Summer","Shrub","Spring"
"1164","LUDE4","Ludwigia decurrens","No","Rapid",4,"None","High","High",10000,10,"Mid Summer","Forb/herb","Summer"
"1165","LUPA","Ludwigia palustris","No","Rapid",0,"None","None","High",10000,10,"Spring","Forb/herb","Summer"
"1166","LUAR","Lupinus arboreus","No","Moderate",6,"High","Medium","Low",2700,10,"Mid Spring","Subshrub","Fall"
"1167","LUAR","Lupinus arboreus","No","Moderate",6,"High","Medium","Low",2700,10,"Mid Spring","Subshrub","Winter"
"1168","LUAR","Lupinus arboreus","No","Moderate",6,"High","Medium","Low",2700,10,"Mid Spring","Shrub","Fall"
"1169","LUAR","Lupinus arboreus","No","Moderate",6,"High","Medium","Low",2700,10,"Mid Spring","Shrub","Winter"
"1170","LUAR3","Lupinus argenteus","No","Rapid",2,"Medium","Low","Low",2700,6,"Late Summer","Subshrub","Spring"
"1171","LUAR3","Lupinus argenteus","No","Rapid",2,"Medium","Low","Low",2700,6,"Late Summer","Forb/herb","Spring"
"1172","LUCA","Lupinus caudatus","No","Rapid",5,"Medium","Medium","Low",2700,6,"Summer","Forb/herb","Spring"
"1173","LUCO4","Lupinus covillei","No","Rapid",10,"None","Low","High",2700,6,"Late Summer","Forb/herb","Spring"
"1174","LUHA","Lupinus havardii","No","Rapid",20,"High","High","Low",2700,6,"Early Spring","Forb/herb","Spring"
"1175","LUHA","Lupinus havardii","No","Rapid",20,"High","High","Low",2700,6,"Early Spring","Forb/herb","Summer"
"1176","LUHA","Lupinus havardii","No","Rapid",20,"High","High","Low",2700,6,"Early Spring","Forb/herb","Fall"
"1177","LULA4","Lupinus latifolius","No","Rapid",25,"None","Low","High",2700,6,"Mid Spring","Forb/herb","Summer"
"1178","LULE2","Lupinus lepidus","No","Rapid",6,"High","Medium","Low",2700,6,"Early Summer","Forb/herb","Spring"
"1179","LUNO","Lupinus nootkatensis","No","Rapid",2,"None","Medium","Medium",10240,12,"Early Summer","Forb/herb","Summer"
"1180","LUSE4","Lupinus sericeus","No","Rapid",6,"High","Medium","Low",2700,6,"Early Summer","Subshrub","Spring"
"1181","LUSE4","Lupinus sericeus","No","Rapid",6,"High","Medium","Low",2700,6,"Early Summer","Forb/herb","Spring"
"1182","LUSU5","Lupinus sulphureus","No","Rapid",10,"High","Medium","Low",2700,6,"Early Summer","Forb/herb","Spring"
"1183","LUPA4","Luzula parviflora","No","Moderate",2,"Low","High","High",4800,10,"Mid Summer","Graminoid","Spring"
"1184","LUSP4","Luzula spicata","No","Moderate",1,"Low","High","High",10000,10,"Late Spring","Graminoid","Spring"
"1185","LYCA2","Lycium carolinianum","No","Slow",9,"None","Medium","High",3450,10,"Fall","Shrub","Spring"
"1186","LYPA","Lycium pallidum","No","Moderate",6,"High","Low","Medium",600,12,"Early Spring","Shrub","Summer"
"1187","LYAN2","Lycopodium annotinum","No","Moderate",1,"None","High","High",4800,10,"Late Summer","Subshrub","Spring"
"1188","LYAN2","Lycopodium annotinum","No","Moderate",1,"None","High","High",4800,10,"Late Summer","Subshrub","Summer"
"1189","LYAN2","Lycopodium annotinum","No","Moderate",1,"None","High","High",4800,10,"Late Summer","Subshrub","Fall"
"1190","LYAN2","Lycopodium annotinum","No","Moderate",1,"None","High","High",4800,10,"Late Summer","Forb/herb","Spring"
"1191","LYAN2","Lycopodium annotinum","No","Moderate",1,"None","High","High",4800,10,"Late Summer","Forb/herb","Summer"
"1192","LYAN2","Lycopodium annotinum","No","Moderate",1,"None","High","High",4800,10,"Late Summer","Forb/herb","Fall"
"1193","LYAM","Lycopus americanus","No","Moderate",2,"Low","High","High",10000,10,"Early Summer","Forb/herb","Summer"
"1194","LYAS","Lycopus asper","No","Moderate",2,"Low","High","High",10000,10,"Mid Summer","Forb/herb","Summer"
"1195","LYRU","Lycopus rubellus","No","Moderate",2,"Low","High","High",10000,10,"Mid Summer","Forb/herb","Summer"
"1196","LYVI4","Lycopus virginicus","No","Moderate",4,"Low","Medium","High",10000,6,"Summer","Forb/herb","Spring"
"1197","LYLU3","Lyonia lucida","No","Moderate",7,"Low","High","Medium",3450,20,"Spring","Shrub","Summer"
"1198","LYLA","Lysimachia lanceolata","No","Moderate",2,"Medium","High","Medium",4800,10,"Late Spring","Forb/herb","Spring"
"1199","LYTH2","Lysimachia thyrsiflora","No","Moderate",2,"None","High","High",4800,12,"Mid Spring","Forb/herb","Spring"
"1200","MAPO","Maclura pomifera","No","Moderate",35,"Medium","Medium","Medium",800,32,"Late Spring","Tree","Spring"
"1201","MAPO","Maclura pomifera","No","Moderate",35,"Medium","Medium","Medium",800,32,"Late Spring","Shrub","Spring"
"1202","MAAT80","Macroptilium atropurpureum","No","Rapid",4,"Medium","None","Low",1700,24,"Indeterminate","Vine","Spring"
"1203","MAAT80","Macroptilium atropurpureum","No","Rapid",4,"Medium","None","Low",1700,24,"Indeterminate","Forb/herb","Spring"
"1204","MASO9","Magnolia ×soulangiana","No","Moderate",30,"Low","None","Medium",800,24,"Early Spring","Shrub","Spring"
"1205","MASO9","Magnolia ×soulangiana","No","Moderate",30,"Low","None","Medium",800,24,"Early Spring","Tree","Spring"
"1206","MAAC","Magnolia acuminata","No","Rapid",100,"None","None","High",800,30,"Mid Spring","Tree","Spring"
"1207","MAFR","Magnolia fraseri","No","Rapid",75,"Low","Medium","High",800,28,"Spring","Tree","Spring"
"1208","MAGR4","Magnolia grandiflora","Yes","Moderate",100,"Low","Low","High",800,42,"Mid Spring","Tree","Spring"
"1209","MAST6","Magnolia stellata","No","Moderate",26,"Low","Low","Medium",700,18,"Mid Spring","Tree","Spring"
"1210","MATR","Magnolia tripetala","No","Moderate",30,"Low","Low","Medium",3450,12,"Spring","Tree","Spring"
"1211","MAVI2","Magnolia virginiana","Yes","Moderate",60,"None","None","High",800,30,"Summer","Tree","Spring"
"1212","MAVI2","Magnolia virginiana","Yes","Moderate",60,"None","None","High",800,30,"Summer","Shrub","Spring"
"1213","MANE2","Mahonia nervosa","No","Slow",2,"High","High","Low",2700,16,"Mid Spring","Subshrub","Spring"
"1214","MANE2","Mahonia nervosa","No","Slow",2,"High","High","Low",2700,16,"Mid Spring","Shrub","Spring"
"1215","MARE11","Mahonia repens","No","Slow",2,"High","High","Medium",1700,10,"Mid Spring","Subshrub","Spring"
"1216","MARE11","Mahonia repens","No","Slow",2,"High","High","Medium",1700,10,"Mid Spring","Shrub","Spring"
"1217","MAFL80","Malus floribunda","No","Moderate",25,"Medium","High","Medium",1200,30,"Spring","Shrub","Spring"
"1218","MAFL80","Malus floribunda","No","Moderate",25,"Medium","High","Medium",1200,30,"Spring","Tree","Spring"
"1219","MAIO","Malus ioensis","No","Moderate",25,"High","Low","Medium",1200,30,"Mid Spring","Tree","Spring"
"1220","MAIO","Malus ioensis","No","Moderate",25,"High","Low","Medium",1200,30,"Mid Spring","Shrub","Spring"
"1221","MASA9","Malus sargentii","No","Moderate",10,"Medium","Low","Medium",1700,30,"Mid Spring","Shrub","Spring"
"1222","MASY2","Malus sylvestris","No","Moderate",40,"Medium","Low","Medium",600,36,"Mid Spring","Tree","Spring"
"1223","MASY2","Malus sylvestris","No","Moderate",40,"Medium","Low","Medium",600,36,"Mid Spring","Shrub","Spring"
"1224","MAIN3","Mangifera indica","No","Moderate",65,"Medium","None","Medium",300,60,"Late Winter","Tree","Year Round"
"1225","MAES","Manihot esculenta","No","Rapid",10,"Low","None","Medium",2700,24,"Indeterminate","Subshrub","Year Round"
"1226","MAES","Manihot esculenta","No","Rapid",10,"Low","None","Medium",2700,24,"Indeterminate","Shrub","Year Round"
"1227","MAES","Manihot esculenta","No","Rapid",10,"Low","None","Medium",2700,24,"Indeterminate","Forb/herb","Year Round"
"1228","MABI5","Manilkara bidentata","No","Slow",100,"Low","None","Medium",700,32,"Summer","Tree","Spring"
"1229","MABI5","Manilkara bidentata","No","Slow",100,"Low","None","Medium",700,32,"Summer","Tree","Summer"
"1230","MABI5","Manilkara bidentata","No","Slow",100,"Low","None","Medium",700,32,"Summer","Tree","Fall"
"1231","MAZA","Manilkara zapota","No","Slow",50,"Low","None","Medium",300,60,"Indeterminate","Tree","Year Round"
"1232","MEAZ","Melia azedarach","No","Rapid",50,"High","None","Low",300,60,"Indeterminate","Shrub","Year Round"
"1233","MEAZ","Melia azedarach","No","Rapid",50,"High","None","Low",300,60,"Indeterminate","Tree","Year Round"
"1234","MEIM","Melica imperfecta","No","Moderate",3,"High","High","Low",4800,12,"Early Spring","Graminoid","Spring"
"1235","MESP","Melica spectabilis","No","Moderate",2,"High","High","Low",4800,10,"Late Spring","Graminoid","Spring"
"1236","MESU","Melica subulata","No","Moderate",3,"Medium","High","Medium",4800,12,"Mid Spring","Graminoid","Spring"
"1237","MEBI","Melicoccus bijugatus","No","Moderate",60,"High","None","Medium",300,60,"Spring","Tree","Year Round"
"1238","MESC","Menodora scabra","No","Rapid",1,"High","None","Low",4800,12,"Early Summer","Subshrub","Spring"
"1239","MESC","Menodora scabra","No","Rapid",1,"High","None","Low",4800,12,"Early Summer","Forb/herb","Spring"
"1240","MEAR4","Mentha arvensis","No","Moderate",3,"Low","None","Medium",19360,6,"Spring","Forb/herb","Spring"
"1241","METR3","Menyanthes trifoliata","No","Moderate",1,"None","High","High",4800,10,"Mid Spring","Forb/herb","Spring"
"1242","MECI3","Mertensia ciliata","No","Moderate",2,"Low","Medium","High",4800,10,"Late Spring","Forb/herb","Spring"
"1243","MEVI3","Mertensia virginica","No","Moderate",2,"Low","None","High",19360,4,"Spring","Forb/herb","Spring"
"1244","MEGL8","Metasequoia glyptostroboides","No","Rapid",100,"Low","Low","High",1200,48,"Spring","Tree","Spring"
"1245","MEGL8","Metasequoia glyptostroboides","No","Rapid",100,"Low","Low","High",1200,48,"Spring","Tree","Summer"
"1246","MEGL8","Metasequoia glyptostroboides","No","Rapid",100,"Low","Low","High",1200,48,"Spring","Tree","Fall"
"1247","MEPO5","Metrosideros polymorpha","No","Slow",65,"Low","High","Medium",700,24,"Late Spring","Tree","Spring"
"1248","MEPO5","Metrosideros polymorpha","No","Slow",65,"Low","High","Medium",700,24,"Late Spring","Shrub","Spring"
"1249","MINU","Microseris nutans","No","Rapid",2,"Medium","Low","Medium",4800,10,"Late Spring","Forb/herb","Spring"
"1250","MISC","Mikania scandens","No","Rapid",1,"Low","None","Medium",2728,16,"Summer","Vine","Summer"
"1251","MISC","Mikania scandens","No","Rapid",1,"Low","None","Medium",2728,16,"Summer","Forb/herb","Summer"
"1252","MIAL2","Mimulus alatus","No","Rapid",2,"None","None","High",43560,2,"Summer","Forb/herb","Spring"
"1253","MICA3","Mimulus cardinalis","No","Moderate",2,"Low","Medium","High",4800,6,"Spring","Forb/herb","Spring"
"1254","MIDE3","Mimulus dentatus","No","Moderate",2,"Low","Low","Medium",4800,12,"Mid Spring","Forb/herb","Spring"
"1255","MIGU","Mimulus guttatus","No","Rapid",2,"None","Medium","High",4800,12,"Mid Spring","Forb/herb","Spring"
"1256","MINA","Mimulus nanus","No","Rapid",0,"Medium","None","Low",4800,12,"Late Spring","Forb/herb","Spring"
"1257","MIMU","Mirabilis multiflora","No","Moderate",2,"High","Low","Low",4800,12,"Late Spring","Forb/herb","Spring"
"1258","MIMU","Mirabilis multiflora","No","Moderate",2,"High","Low","Low",4800,12,"Late Spring","Subshrub","Spring"
"1259","MISI","Miscanthus sinensis","No","Moderate",5,"Medium","High","Medium",2700,14,"Mid Summer","Graminoid","Spring"
"1260","MOFI","Monarda fistulosa","No","Moderate",5,"None","None","High",10912,4,"Summer","Subshrub","Spring"
"1261","MOFI","Monarda fistulosa","No","Moderate",5,"None","None","High",10912,4,"Summer","Forb/herb","Spring"
"1262","MOFIM2","Monarda fistulosa ssp. fistulosa var. menthifolia","No","Moderate",3,"Low","High","Medium",4800,16,"Late Spring","Subshrub","Spring"
"1263","MOFIM2","Monarda fistulosa ssp. fistulosa var. menthifolia","No","Moderate",3,"Low","High","Medium",4800,16,"Late Spring","Forb/herb","Spring"
"1264","MOCA6","Morella californica","No","Moderate",33,"Low","Low","Medium",1700,20,"Early Summer","Tree","Spring"
"1265","MOCA6","Morella californica","No","Moderate",33,"Low","Low","Medium",1700,20,"Early Summer","Shrub","Spring"
"1266","MOCA7","Morella caroliniensis","No","Moderate",7,"Low","High","Medium",3400,12,"Spring","Shrub","Spring"
"1267","MOCA7","Morella caroliniensis","No","Moderate",7,"Low","High","Medium",3400,12,"Spring","Tree","Spring"
"1268","MOCE2","Morella cerifera","No","Moderate",10,"Medium","Low","High",1700,20,"Spring","Tree","Spring"
"1269","MOCE2","Morella cerifera","No","Moderate",10,"Medium","Low","High",1700,20,"Spring","Subshrub","Spring"
"1270","MOCE2","Morella cerifera","No","Moderate",10,"Medium","Low","High",1700,20,"Spring","Shrub","Spring"
"1271","MOIN","Morella inodora","No","Moderate",23,"Low","Medium","Medium",3400,12,"Spring","Tree","Spring"
"1272","MOIN","Morella inodora","No","Moderate",23,"Low","Medium","Medium",3400,12,"Spring","Shrub","Spring"
"1273","MOPE6","Morella pensylvanica","No","Moderate",7,"High","Low","Medium",2722,20,"Late Spring","Tree","Spring"
"1274","MOPE6","Morella pensylvanica","No","Moderate",7,"High","Low","Medium",2722,20,"Late Spring","Shrub","Spring"
"1275","MOCI3","Morinda citrifolia","No","Moderate",20,"Medium","Medium","Medium",600,24,"Spring","Shrub","Year Round"
"1276","MOCI3","Morinda citrifolia","No","Moderate",20,"Medium","Medium","Medium",600,24,"Spring","Tree","Year Round"
"1277","MOAL","Morus alba","No","Moderate",50,"Medium","Low","Low",600,24,"Early Spring","Tree","Spring"
"1278","MOAL","Morus alba","No","Moderate",50,"Medium","Low","Low",600,24,"Early Spring","Shrub","Spring"
"1279","MORU2","Morus rubra","No","Moderate",70,"Medium","Low","Medium",600,24,"Early Spring","Tree","Spring"
"1280","MUAS","Muhlenbergia asperifolia","No","Moderate",2,"Low","High","High",18000,8,"Early Summer","Graminoid","Spring"
"1281","MUAS","Muhlenbergia asperifolia","No","Moderate",2,"Low","High","High",18000,8,"Early Summer","Graminoid","Summer"
"1282","MUAS","Muhlenbergia asperifolia","No","Moderate",2,"Low","High","High",18000,8,"Early Summer","Graminoid","Fall"
"1283","MUCA2","Muhlenbergia capillaris","No","Moderate",3,"Low","High","High",18000,9,"Fall","Graminoid","Spring"
"1284","MUFR2","Muhlenbergia frondosa","No","Moderate",2,"Low","High","Medium",18000,8,"Spring","Graminoid","Spring"
"1285","MUFR2","Muhlenbergia frondosa","No","Moderate",2,"Low","High","Medium",18000,8,"Spring","Graminoid","Summer"
"1286","MUFR2","Muhlenbergia frondosa","No","Moderate",2,"Low","High","Medium",18000,8,"Spring","Graminoid","Fall"
"1287","MUPU2","Muhlenbergia pungens","No","Moderate",2,"High","High","Low",11000,12,"Late Summer","Graminoid","Spring"
"1288","MURA","Muhlenbergia racemosa","No","Moderate",3,"Low","High","Medium",18000,8,"Late Summer","Graminoid","Spring"
"1289","MURA","Muhlenbergia racemosa","No","Moderate",3,"Low","High","Medium",18000,8,"Late Summer","Graminoid","Summer"
"1290","MURA","Muhlenbergia racemosa","No","Moderate",3,"Low","High","Medium",18000,8,"Late Summer","Graminoid","Fall"
"1291","MURE","Muhlenbergia repens","No","Moderate",1,"High","High","Low",11000,10,"Mid Summer","Graminoid","Spring"
"1292","MURI","Muhlenbergia richardsonis","No","Rapid",0,"Low","Medium","High",18000,6,"Early Summer","Graminoid","Spring"
"1293","MUSC","Muhlenbergia schreberi","No","Moderate",3,"Medium","Medium","Low",43560,2,"Summer","Graminoid","Spring"
"1294","MUSY","Muhlenbergia sylvatica","No","Moderate",3,"Low","High","Medium",18000,8,"Mid Summer","Graminoid","Spring"
"1295","MUSY","Muhlenbergia sylvatica","No","Moderate",3,"Low","High","Medium",18000,8,"Mid Summer","Graminoid","Summer"
"1296","MUSY","Muhlenbergia sylvatica","No","Moderate",3,"Low","High","Medium",18000,8,"Mid Summer","Graminoid","Fall"
"1297","MYSC","Myosotis scorpioides","No","Moderate",2,"None","Low","High",11000,8,"Mid Spring","Forb/herb","Spring"
"1298","MYGA","Myrica gale","No","Moderate",6,"Medium","High","Medium",7000,14,"Spring","Shrub","Summer"
"1299","NAGU","Najas guadalupensis","No","Moderate",1,"None","None","High",2728,2,"Summer","Forb/herb","Summer"
"1300","NADO","Nandina domestica","No","Rapid",8,"Low","Low","High",1700,20,"Early Summer","Shrub","Spring"
"1301","NELU","Nelumbo lutea","No","Moderate",3,"None","None","High",1746,12,"Mid Summer","Forb/herb","Summer"
"1302","NEWI2","Neonotonia wightii","No","Moderate",2,"High","Medium","Medium",40000,12,"Indeterminate","Vine","Year Round"
"1303","NEWI2","Neonotonia wightii","No","Moderate",2,"High","Medium","Medium",40000,12,"Indeterminate","Forb/herb","Year Round"
"1304","NEOL","Nerium oleander","Yes","Rapid",12,"High","High","Low",1200,16,"Summer","Tree","Spring"
"1305","NEOL","Nerium oleander","Yes","Rapid",12,"High","High","Low",1200,16,"Summer","Tree","Summer"
"1306","NEOL","Nerium oleander","Yes","Rapid",12,"High","High","Low",1200,16,"Summer","Tree","Fall"
"1307","NEOL","Nerium oleander","Yes","Rapid",12,"High","High","Low",1200,16,"Summer","Shrub","Spring"
"1308","NEOL","Nerium oleander","Yes","Rapid",12,"High","High","Low",1200,16,"Summer","Shrub","Summer"
"1309","NEOL","Nerium oleander","Yes","Rapid",12,"High","High","Low",1200,16,"Summer","Shrub","Fall"
"1310","NOMI","Nolina microcarpa","No","Moderate",4,"High","Medium","Low",3400,20,"Mid Spring","Subshrub","Spring"
"1311","NOMI","Nolina microcarpa","No","Moderate",4,"High","Medium","Low",3400,20,"Mid Spring","Shrub","Spring"
"1312","NULUP","Nuphar lutea ssp. polysepala","No","Rapid",4,"Low","Low","High",1280,12,"Spring","Forb/herb","Spring"
"1313","NYAQ2","Nyssa aquatica","No","Moderate",100,"None","Low","High",800,28,"Mid Spring","Tree","Spring"
"1314","NYBI","Nyssa biflora","No","Moderate",115,"None","Medium","High",800,34,"Late Spring","Tree","Spring"
"1315","NYOG","Nyssa ogeche","No","Rapid",50,"Low","Medium","High",800,24,"Mid Spring","Tree","Spring"
"1316","NYSY","Nyssa sylvatica","No","Moderate",95,"Low","Low","Medium",800,30,"Late Spring","Tree","Spring"
"1317","OECA10","Oenothera caespitosa","No","Rapid",0,"High","Medium","Low",4800,6,"Late Spring","Forb/herb","Spring"
"1318","OECA10","Oenothera caespitosa","No","Rapid",0,"High","Medium","Low",4800,6,"Late Spring","Subshrub","Spring"
"1319","OEEL","Oenothera elata","No","Moderate",5,"Low","High","High",4800,8,"Mid Summer","Forb/herb","Spring"
"1320","OEELH2","Oenothera elata ssp. hookeri","No","Rapid",5,"Medium","None","Low",25000,6,"Late Summer","Forb/herb","Summer"
"1321","OEFL","Oenothera flava","No","Moderate",2,"Low","High","Medium",4800,8,"Mid Spring","Forb/herb","Spring"
"1322","OEFR","Oenothera fruticosa","No","Moderate",3,"Low","Low","High",43000,6,"Summer","Forb/herb","Spring"
"1323","OEPA","Oenothera pallida","No","Moderate",2,"High","High","Low",4800,16,"Late Spring","Forb/herb","Spring"
"1324","OEPI2","Oenothera pilosella","No","Moderate",2,"Low","High","Medium",4800,8,"Late Spring","Forb/herb","Spring"
"1325","OLRIR","Oligoneuron rigidum var. rigidum","No","Rapid",4,"High","High","Medium",11000,12,"Late Summer","Forb/herb","Spring"
"1326","OLTE","Olneya tesota","No","Slow",25,"High","None","Low",300,12,"Early Spring","Tree","Spring"
"1327","OLTE","Olneya tesota","No","Slow",25,"High","None","Low",300,12,"Early Spring","Tree","Summer"
"1328","OLTE","Olneya tesota","No","Slow",25,"High","None","Low",300,12,"Early Spring","Tree","Fall"
"1329","OLTE","Olneya tesota","No","Slow",25,"High","None","Low",300,12,"Early Spring","Shrub","Spring"
"1330","OLTE","Olneya tesota","No","Slow",25,"High","None","Low",300,12,"Early Spring","Shrub","Summer"
"1331","OLTE","Olneya tesota","No","Slow",25,"High","None","Low",300,12,"Early Spring","Shrub","Fall"
"1332","OLDOD","Olsynium douglasii var. douglasii","No","Moderate",1,"Medium","Medium","Medium",2700,8,"Early Spring","Forb/herb","Spring"
"1333","OPFI","Opuntia ficus-indica","No","Slow",10,"High","None","Low",700,6,"Mid Summer","Tree","Summer"
"1334","OPFI","Opuntia ficus-indica","No","Slow",10,"High","None","Low",700,6,"Mid Summer","Shrub","Summer"
"1335","OPPO","Opuntia polyacantha","No","Rapid",2,"High","None","Low",300,12,"Late Spring","Shrub","Spring"
"1336","OPPO","Opuntia polyacantha","No","Rapid",2,"High","None","Low",300,12,"Late Spring","Shrub","Summer"
"1337","OPPO","Opuntia polyacantha","No","Rapid",2,"High","None","Low",300,12,"Late Spring","Shrub","Fall"
"1338","OSCI","Osmunda cinnamomea","No","Moderate",5,"Medium","None","Medium",3450,12,"Spring","Forb/herb","Spring"
"1339","OSCL2","Osmunda claytoniana","No","Moderate",4,"Low","Low","High",2700,12,"Mid Summer","Forb/herb","Spring"
"1340","OSCL2","Osmunda claytoniana","No","Moderate",4,"Low","Low","High",2700,12,"Mid Summer","Forb/herb","Summer"
"1341","OSCL2","Osmunda claytoniana","No","Moderate",4,"Low","Low","High",2700,12,"Mid Summer","Forb/herb","Fall"
"1342","OSRES","Osmunda regalis var. spectabilis","No","Rapid",4,"Low","Low","Medium",4800,14,"Late Spring","Forb/herb","Spring"
"1343","OSAN","Osteomeles anthyllidifolia","No","Slow",12,"Medium","Medium","Medium",2000,24,"Spring","Shrub","Year Round"
"1344","OSVI","Ostrya virginiana","No","Slow",45,"Medium","Medium","Low",1200,16,"Mid Spring","Tree","Spring"
"1345","OSVI","Ostrya virginiana","No","Slow",45,"Medium","Medium","Low",1200,16,"Mid Spring","Shrub","Spring"
"1346","OXAR","Oxydendrum arboreum","No","Slow",35,"Medium","Low","Low",1200,30,"Early Summer","Shrub","Spring"
"1347","OXAR","Oxydendrum arboreum","No","Slow",35,"Medium","Low","Low",1200,30,"Early Summer","Tree","Spring"
"1348","PATE11","Pachysandra terminalis","Yes","Slow",1,"Low","High","High",43000,12,"Early Summer","Forb/herb","Spring"
"1349","PATE11","Pachysandra terminalis","Yes","Slow",1,"Low","High","High",43000,12,"Early Summer","Subshrub","Spring"
"1350","PAAU3","Packera aurea","No","Moderate",4,"Low","None","High",19360,6,"Early Spring","Forb/herb","Spring"
"1351","PAGL17","Packera glabella","No","Moderate",3,"Medium","None","High",1700,14,"Spring","Forb/herb","Spring"
"1352","PATR7","Packera tridenticulata","No","Moderate",3,"Medium","High","Medium",2700,12,"Late Summer","Forb/herb","Spring"
"1353","PATR7","Packera tridenticulata","No","Moderate",3,"Medium","High","Medium",2700,12,"Late Summer","Subshrub","Spring"
"1354","PABR","Paeonia brownii","No","Moderate",2,"Medium","Low","Medium",4800,10,"Mid Spring","Forb/herb","Spring"
"1355","PAAM2","Panicum amarum","No","Moderate",2,"High","High","Low",19000,16,"Mid Summer","Graminoid","Summer"
"1356","PAHE2","Panicum hemitomon","No","Rapid",2,"None","High","High",19000,12,"Indeterminate","Graminoid","Year Round"
"1357","PAOB","Panicum obtusum","No","Rapid",2,"Low","High","High",19000,10,"Summer","Graminoid","Summer"
"1358","PARI4","Panicum rigidulum","No","Moderate",3,"Low","High","High",19360,6,"Late Summer","Graminoid","Summer"
"1359","PAFI3","Parnassia fimbriata","No","Moderate",1,"None","Medium","High",4800,8,"Mid Summer","Forb/herb","Summer"
"1360","PAPA8","Parnassia palustris","No","Moderate",2,"None","Medium","High",4800,8,"Mid Summer","Forb/herb","Summer"
"1361","PAQU2","Parthenocissus quinquefolia","No","Rapid",1,"High","Low","Low",19000,16,"Late Spring","Vine","Spring"
"1362","PATR6","Parthenocissus tricuspidata","No","Rapid",2,"Low","Low","High",4800,14,"Early Summer","Vine","Spring"
"1363","PASM","Pascopyrum smithii","No","Moderate",3,"High","High","Medium",4800,20,"Mid Summer","Graminoid","Spring"
"1364","PASM","Pascopyrum smithii","No","Moderate",3,"High","High","Medium",4800,20,"Mid Summer","Graminoid","Summer"
"1365","PASM","Pascopyrum smithii","No","Moderate",3,"High","High","Medium",4800,20,"Mid Summer","Graminoid","Fall"
"1366","PACO14","Paspalum conjugatum","No","Rapid",3,"Medium","Medium","Medium",40000,12,"Indeterminate","Graminoid","Year Round"
"1367","PADI6","Paspalum distichum","No","Rapid",1,"None","Medium","High",43560,4,"Late Summer","Graminoid","Spring"
"1368","PADI6","Paspalum distichum","No","Rapid",1,"None","Medium","High",43560,4,"Late Summer","Graminoid","Summer"
"1369","PADI6","Paspalum distichum","No","Rapid",1,"None","Medium","High",43560,4,"Late Summer","Graminoid","Fall"
"1370","PALA10","Paspalum laeve","No","Moderate",3,"Medium","Medium","Medium",43560,4,"Late Summer","Graminoid","Spring"
"1371","PANI3","Paspalum nicorae","No","Rapid",2,"Low","High","Medium",19000,12,"Late Spring","Graminoid","Spring"
"1372","PANI3","Paspalum nicorae","No","Rapid",2,"Low","High","Medium",19000,12,"Late Spring","Graminoid","Summer"
