species_id,common_name,species_name,nursery_id,name,lat,long,website 
38,Desert Globemallow,desert_globemallow,1,"Theodore Payne Nursery, Los Angeles",34.2385248,-118.3593541,https://theodorepayne.org/plants-and-seeds/nursery/
38,Desert Globemallow,desert_globemallow,4,"Matilija Nursery, Moorpark",34.3184,-118.8811,https://www.matilijanursery.com/
39,Gooddings Willow,gooddings_willow,1,"Theodore Payne Nursery, Los Angeles",34.2385248,-118.3593541,https://theodorepayne.org/plants-and-seeds/nursery/
40,Broadleaf Cattail,broadleaf_cattail,1,"Theodore Payne Nursery, Los Angeles",34.2385248,-118.3593541,https://theodorepayne.org/plants-and-seeds/nursery/
41,Skunkbush Sumac,skunkbush_sumac,7,"El Nativo Growers, Azusa",34.1309,-117.9115,https://elnativogrowers.com/
42,Redberry Buckthorn,redberry_buckthorn,5,"Plant Material, Los Angeles",34.11452,-118.2362,https://plant-material.com/
42,Redberry Buckthorn,redberry_buckthorn,1,"Theodore Payne Nursery, Los Angeles",34.2385248,-118.3593541,https://theodorepayne.org/plants-and-seeds/nursery/
43,California Wax Myrtle,ca_wax_myrtle,3,"Artemisia Nursery, Los Angeles",34.0706007,-118.173616,https://artemisianursery.com/
43,California Wax Myrtle,ca_wax_myrtle,7,"El Nativo Growers, Azusa",34.1309,-117.9115,https://elnativogrowers.com/
44,California Sycamore,ca_sycamore,5,"Plant Material, Los Angeles",34.11452,-118.2362,https://plant-material.com/
44,California Sycamore,ca_sycamore,1,"Theodore Payne Nursery, Los Angeles",34.2385248,-118.3593541,https://theodorepayne.org/plants-and-seeds/nursery/
44,California Sycamore,ca_sycamore,3,"Artemisia Nursery, Los Angeles",34.0706007,-118.173616,https://artemisianursery.com/
44,California Sycamore,ca_sycamore,4,"Matilija Nursery, Moorpark",34.3184,-118.8811,https://www.matilijanursery.com/
45,Common Lipia,common_lipia,5,"Plant Material, Los Angeles",34.11452,-118.2362,https://plant-material.com/
45,Common Lipia,common_lipia,1,"Theodore Payne Nursery, Los Angeles",34.2385248,-118.3593541,https://theodorepayne.org/plants-and-seeds/nursery/
45,Common Lipia,common_lipia,3,"Artemisia Nursery, Los Angeles",34.0706007,-118.173616,https://artemisianursery.com/
46,Hollyleaf Cherry,hollyleaf_cherry,5,"Plant Material, Los Angeles",34.11452,-118.2362,https://plant-material.com/
46,Hollyleaf Cherry,hollyleaf_cherry,1,"Theodore Payne Nursery, Los Angeles",34.2385248,-118.3593541,https://theodorepayne.org/plants-and-seeds/nursery/
47,Bigleaf Maple,bigleaf_maple,5,"Plant Material, Los Angeles",34.11452,-118.2362,https://plant-material.com/
48,White Alder,white_alder,1,"Theodore Payne Nursery, Los Angeles",34.2385248,-118.2362,https://theodorepayne.org/plants-and-seeds/nursery/
48,White Alder,white_alder,5,"Plant Material, Los Angeles",34.11452,-118.3593541,https://plant-material.com/
49,False Indigo Bush,false_indigo_bush,4,"Matilija Nursery, Moorpark",34.3184,-118.8811,https://www.matilijanursery.com/
49,False Indigo Bush,false_indigo_bush,5,"Plant Material, Los Angeles",34.11452,-118.2362,https://plant-material.com/
49,False Indigo Bush,false_indigo_bush,1,"Theodore Payne Nursery, Los Angeles",34.2385248,-118.3593541,https://theodorepayne.org/plants-and-seeds/nursery/
50,Pacific Madrone,pacific_madrone,5,"Plant Material, Los Angeles",34.11452,-118.2362,https://plant-material.com/
50,Pacific Madrone,pacific_madrone,1,"Theodore Payne Nursery, Los Angeles",34.2385248,-118.3593541,https://theodorepayne.org/plants-and-seeds/nursery/
