"","accepted_symbol","common_name","scientific_name","fire_resistance","growth_rate","height","drought_tolerance","fire_tolerance","moisture_use","planting_density","root_depth","bloom_period","growth_habit","growth_period"
"166","JUNE","Sierra rush","Juncus nevadensis","No","Moderate",2,"Low","High","High",2700,12,"Late Spring","Graminoid","Spring"
"167","JUTE","poverty rush","Juncus tenuis","No","Slow",2,"Low","High","Medium",4800,6,"Late Spring","Graminoid","Spring"
"168","JUTO","Torrey's rush","Juncus torreyi","No","Moderate",3,"Low","Medium","Medium",2700,10,"Mid Summer","Graminoid","Summer"
"169","KRLA2","winterfat","Krascheninnikovia lanata","No","Rapid",2,"High","Medium","Low",1200,12,"Spring","Shrub","Summer"
"170","KRLA2","winterfat","Krascheninnikovia lanata","No","Rapid",2,"High","Medium","Low",1200,12,"Spring","Subshrub","Summer"
"171","LAAS","island mallow","Lavatera assurgentiflora","No","Rapid",12,"Low","Low","Medium",500,12,"Indeterminate","Subshrub","Year Round"
"172","LAAS","island mallow","Lavatera assurgentiflora","No","Rapid",12,"Low","Low","Medium",500,12,"Indeterminate","Shrub","Year Round"
"173","LETR","star duckweed","Lemna trisulca","Yes","Rapid",0,"None","High","High",11000,0,"Late Spring","Forb/herb","Summer"
"174","LEFUF","bearded sprangletop","Leptochloa fusca ssp. fascicularis","No","Rapid",3,"Low","None","High",10912,4,"Summer","Graminoid","Spring"
"175","LETR5","beardless wildrye","Leymus triticoides","No","Rapid",3,"High","High","High",11000,10,"Late Spring","Graminoid","Spring"
"176","LETR5","beardless wildrye","Leymus triticoides","No","Rapid",3,"High","High","High",11000,10,"Late Spring","Graminoid","Summer"
"177","LETR5","beardless wildrye","Leymus triticoides","No","Rapid",3,"High","High","High",11000,10,"Late Spring","Graminoid","Fall"
"178","LOPE","perennial ryegrass","Lolium perenne","No","Rapid",2,"Low","Low","High",43560,10,"Mid Spring","Graminoid","Spring"
"179","LOPE","perennial ryegrass","Lolium perenne","No","Rapid",2,"Low","Low","High",43560,10,"Mid Spring","Graminoid","Summer"
"180","LOPE","perennial ryegrass","Lolium perenne","No","Rapid",2,"Low","Low","High",43560,10,"Mid Spring","Graminoid","Fall"
"181","LOMA3","bigseed biscuitroot","Lomatium macrocarpum","No","Moderate",0,"High","Medium","Low",4800,10,"Early Spring","Forb/herb","Spring"
"182","LUAR","yellow bush lupine","Lupinus arboreus","No","Moderate",6,"High","Medium","Low",2700,10,"Mid Spring","Subshrub","Fall"
"183","LUAR","yellow bush lupine","Lupinus arboreus","No","Moderate",6,"High","Medium","Low",2700,10,"Mid Spring","Subshrub","Winter"
"184","LUAR","yellow bush lupine","Lupinus arboreus","No","Moderate",6,"High","Medium","Low",2700,10,"Mid Spring","Shrub","Fall"
"185","LUAR","yellow bush lupine","Lupinus arboreus","No","Moderate",6,"High","Medium","Low",2700,10,"Mid Spring","Shrub","Winter"
"186","LULA4","broadleaf lupine","Lupinus latifolius","No","Rapid",25,"None","Low","High",2700,6,"Mid Spring","Forb/herb","Summer"
"187","LYAM","American water horehound","Lycopus americanus","No","Moderate",2,"Low","High","High",10000,10,"Early Summer","Forb/herb","Summer"
"188","MEIM","smallflower melicgrass","Melica imperfecta","No","Moderate",3,"High","High","Low",4800,12,"Early Spring","Graminoid","Spring"
"189","MEAR4","wild mint","Mentha arvensis","No","Moderate",3,"Low","None","Medium",19360,6,"Spring","Forb/herb","Spring"
"190","MICA3","scarlet monkeyflower","Mimulus cardinalis","No","Moderate",2,"Low","Medium","High",4800,6,"Spring","Forb/herb","Spring"
